id,doe,mac_address,ip_address
1,5522642,E01AEA94548F,
2,7272699,E01AEA945036,
3,7268838,E01AEA9453EF,
4,7274884,E01AEA94532F,
5,5521836,E01AEA94542F,
6,7272743,E01AEA94531E,
7,5519291,E01AEA94540C,
8,5520952,E01AEA94547E,
9,7274495,E01AEA9452E4,
10,7274082,E01AEA945427,
11,7269637,E01AEA945410,
12,5518492,E01AEA9452B9,
13,5519666,E01AEA9451EE,
14,5518744,E01AEA945368,
15,5520921,E01AEA9452E2,
16,7274020,E01AEA9452F6,
17,7274747,E01AEA945483,
18,7269309,E01AEA945482,
19,7274105,E01AEA945409,
20,7273962,E01AEA945245,
21,5518805,E01AEA94547F,
22,5519314,E01AEA945390,
23,5518577,E01AEA9453F0,
24,5521812,E01AEA9453C9,
25,5517761,E01AEA9452FD,
26,5519161,E01AEA945307,
27,7269026,E01AEA945428,
28,7274242,E01AEA945302,
29,7273023,E01AEA94502F,
30,5522468,E01AEA94534F,
31,7274112,E01AEA9452B8,
32,5519185,E01AEA9452DE,
33,7268807,E01AEA945030,
34,5522475,E01AEA9452C5,
35,7274136,E01AEA9452DD,
36,5519215,E01AEA945360,
37,7274853,E01AEA94549B,
38,7274877,E01AEA9452F8,
39,5522499,E01AEA9452F0,
40,7274594,E01AEA9452D6,
41,5519253,E01AEA945033,
42,5519307,E01AEA9452FA,
43,5519178,E01AEA9452ED,
44,5518539,E01AEA9451E0,
45,7274051,E01AEA945326,
46,5518560,E01AEA9451DD,
47,7274617,E01AEA9452F7,
48,7272927,E01AEA9452EC,
49,7269101,E01AEA94523C,
50,7274686,E01AEA94549F,
51,7269118,E01AEA945486,
52,7274167,E01AEA94548B,
53,7269668,E01AEA9452E9,
54,7274174,E01AEA9451E1,
55,7267916,E01AEA94523B,
56,7268784,E01AEA945239,
57,7274907,E01AEA9452FC,
58,7269040,E01AEA9452D2,
59,7267923,E01AEA9451D5,
60,7272842,E01AEA9451CA,
61,7269149,E01AEA94544C,
62,5519697,E01AEA9451F0,
63,7267930,E01AEA9452A5,
64,5519154,E01AEA9452A6,
65,7269064,E01AEA9453C5,
66,5518508,E01AEA94533B,
67,7274068,E01AEA945487,
68,7272880,E01AEA94533A,
69,7269255,E01AEA94538B,
70,7272811,E01AEA9451D9,
71,7273986,E01AEA9451D8,
72,5517280,E01AEA843D77,
73,7274181,E01AEA945434,
74,7269194,E01AEA945210,
