id,doe
1,9591538
2,9575866
3,9568028
4,9591064
5,9590876
6,9591279
7,9591477
8,9591217
9,9591033
10,9591248
11,9591446
12,9591040
13,9567977
14,9591019
15,9542271
16,9546545
17,9567960
18,9590999
19,9591422
20,9567960
21,9591149
22,9590890
23,9591514
24,9591095
25,9544879
26,9591286
27,9591132
28,9591378
29,9591170
30,9591026
31,9568042
32,9591392
33,9591316
34,9590883
35,9590982
36,9481594
37,9591071
38,9591460
39,9591101
40,9528428
41,9591231
42,9591163
43,9591118
44,9591545
45,9345643
46,9591088
47,9591262
48,9591491
49,9591156
50,9590951
51,9591521
52,9590975
53,9591002
54,9591002
